Mat,number,ZIII,ZV,MassIII,MassV,Etot,Eg,Mass Total,a,h,d(Mx),ZIII**2,ZV**2,(ZIII+ZV)**2,ZIII**3/2,ZV**3/2,(ZIII+ZV)**3/2,ZIII**5/2,ZV**5/2,(ZIII+ZV)**5/2,ZIII**16/10,ZV**16/10,(ZIII+ZV)**16/10,ZIII**17/10,ZV**17/10,(ZIII+ZV)**17/10,ZIII**18/10,ZV**18/10,(ZIII+ZV)**18/10,ZIII**19/10,ZV**19/10,(ZIII+ZV)**19/10,ZIII**21/10,ZV**21/10,(ZIII+ZV)**21/10,ZIII**22/10,ZV**22/10,(ZIII+ZV)**22/10,ZIII**23/10,ZV**23/10,(ZIII+ZV)**23/10,ZIII**24/10,ZV**24/10,(ZIII+ZV)**24/10,dEsKc,dEsKv,Egsoc,dEsGv
InP,11,49,15,114.818,30.973762,-466.2690358,1.0281,145.791762,4.222743447,0.489038008,2.486566357,2401,225,4096,343,58.0947,512,16807,871.4212,32768,506.1901,76.1633,776.0468,747.0219,99.8516,1176.2671,1102.4348,130.9074,1782.8875,1626.9438,171.6221,2702.3522,3543.3313,294.9793,6208.3750,5229.1533,386.7236,9410.1369,7717.0441,507.0022,14263.1004,11388.6066,664.6898,21618.8176,0.0112,0.0196,1.0231,0.1099
AlSb,12,13,51,26.981539,121.76,-387.1216767,1.444,148.741539,4.399824164,0.63019244,2.617242837,169,2601,4096,46.8721,364.2128,512,609.3381,18574.85,32768,60.5772,539.6501,776.0468,78.2895,799.5935,1176.2671,101.1807,1184.7489,1782.8875,130.7652,1755.4292,2702.3522,218.4142,3853.8727,6208.3750,282.2769,5710.2403,9410.1369,364.8124,8460.7995,14263.1004,471.4808,12536.2724,21618.8176,0.0488,0.0216,1.444,1.3144
InAs,13,49,33,114.818,74.92159,-586.7310259,0.7981,189.73959,4.364130778,0.665945914,2.606152294,2401,1089,6724,343,189.5705,742.5415,16807,6255.82,60888.4,506.1901,268.9195,1153.7246,747.0219,381.4816,1792.6006,1102.4348,541.15925,2785.2548,1626.9438,767.6733,4327.5921,3543.3313,1544.8249,10447.4208,5229.1533,2191.4454,16232.6892,7717.0441,3108.7232,25221.5550,11388.6066,4409.9478,39188.0132,0.0469,0.0327,0.6791,0.2569
GaSb,14,31,51,69.732,121.76,-625.5536,0.843,191.492,4.375244026,0.697778552,2.620651637,961,2601,6724,172.6006,364.2128,742.5415,5350.621,18574.85,60888.4,243.3205,539.6501,1153.7246,343.0163,799.5935,1792.6006,483.5607,1184.7489,2785.2548,681.6904,1755.4292,4327.5921,1354.7512,3853.8727,10447.4208,1909.8344,5710.2403,16232.6892,2692.3523,8460.7995,25221.5550,3795.4918,12536.2724,39188.0132,0.0807,0.0392,0.6624,0.4474
TlN,15,81,7,204.3833,14.00674,-864.8076819,0,218.39004,3.729273671,0.10245969,2.15553366,6561,49,7744,729,18.5202,825.5131,59049,129.6418,72645.15,1131.2954,22.4986,1291.7315,1755.5957,27.3317,2021.2523,2724.4135,33.2029,3162.7787,4227.8691,40.3353,4948.9957,10181.6588,59.5258,12117.5162,15800.3621,72.3128,18961.0279,24519.7220,87.8467,29669.4944,38050.8221,106.7174,46425.6949,0.0707,0.0581,0
BBi,16,5,83,10.811,208.98037,-917.6535876,0.5288,219.79137,3.875208574,0.497966924,2.292099086,25,6889,7744,11.1803,756.1659,825.5131,55.9016,62761.77,72645.15,13.1326,1176.3185,1291.7315,15.4258,1829.9227,2021.2523,18.1194,2846.6925,3162.7787,21.2834,4428.4156,4948.9957,29.3654,10716.7720,12117.5162,34.4932,16671.3896,18961.0279,40.5164,25934.6034,29669.4944,47.5913,40344.7865,46425.6949,0.0154,0.1971,0.5121,0.8596
TlP,17,81,15,204.3833,30.973762,-892.2349718,0.248,235.357062,4.309648803,0.604096424,2.560460263,6561,225,9216,729,58.0947,940.604,59049,871.4212,90297.98,1131.2954,76.1633,1484.6838,1755.5957,99.8516,2343.4791,2724.4135,130.9074,3699.0331,4227.8691,171.6221,5838.6889,10181.6588,294.9793,14546.8710,15800.3621,386.7236,22961.3126,24519.7220,507.0022,36242.9747,38050.8221,664.6898,57207.2352,0.0511,0.0917,0.1871,0.3112
AlBi,18,13,83,26.981539,208.98037,-945.8088996,0.8226,235.961909,4.501558441,0.776774056,2.712573329,169,2601,9216,46.8721,756.1659,940.604,609.3381,62761.77,90297.98,60.5772,1176.3185,1484.6838,78.2895,1829.9227,2343.4791,101.1807,2846.6925,3699.0331,130.7652,4428.4156,5838.6889,218.4142,10716.7720,14546.8710,282.2769,16671.3896,22961.3126,364.8124,25934.6034,36242.9747,471.4808,40344.7865,57207.235,0.1351,0.2244,0.3933,1.3144
InSb,19,49,51,114.818,121.76,-758.3899853,0.7049,236.578,4.670264709,0.775077268,2.805566299,2401,2601,10000,343,364.2128,1000,16807,18574.85,100000,506.1901,539.6501,1584.8931,747.0219,799.5935,2511.8864,1102.4348,1184.7489,3981.0717,1626.9438,1755.4292,6309.5734,3543.3313,3853.8727,15848.9319,5229.1533,5710.2403,25118.8643,7717.0441,8460.7995,39810.7170,11388.6066,12536.2724,63095.7344,0.1042,0.0578,0.4845,0.5044
GaBi,20,31,83,69.732,208.98037,-1184.252263,0.1121,278.71237,4.5211992,0.789888524,2.727209432,961,6889,12996,172.6006,756.1659,1217.1869,5350.621,62761.77,138759.3,243.3205,1176.3185,1954.5543,343.0163,1829.9227,3138.6164,483.5607,2846.6925,5039.9790,681.6904,4428.4156,8093.1803,1354.7512,10716.7720,20868.9302,1909.8344,16671.3896,3351.2534,2692.3523,25934.6034,53812.2508,3795.4918,40344.7865,389.0764,0.1895,0.3387,0.1619,1.3536
TlAs,21,81,33,204.3833,74.92159,-1012.707544,0.043,279.30489,4.471360908,0.70951321,2.677268219,6561,1089,12996,729,189.5705,1217.187,59049,6255.82,138759.3,1131.2954,268.9195,1954.5543,1755.5957,381.4816,3138.6164,2724.4135,541.1592,5039.9790,4227.8691,767.6733,8093.1803,10181.6588,1544.8249,20868.9302,15800.3621,2191.4454,33511.2534,24519.7220,3108.7232,53812.2508,38050.8221,4409.9478,86411.5197,0.117,0.1154,0.1077,0.3399
InBi,22,49,83,114.818,208.98037,-1317.098103,0.1757,323.79837,4.805557934,0.862710988,2.905523349,2401,6889,17424,343,756.1659,1516.5645,16807,62761.77,200186.5,506.1901,1176.3185,2471.2591,747.02190,1829.9227,4026.9448,1102.4348,2846.6925,6561.9524,1626.9438,4428.4156,10692.7760,3543.3313,10716.7720,28392.6059,5229.1533,16671.3896,46266.0740,7717.0441,25934.6034,75391.0933,11388.6066,40344.7865,122850.6433,0.2528,0.3601,0.1665,1.3982
TlSb,23,81,51,204.3833,121.76,-1184.379017,0.0358,326.1433,4.771881123,0.798657382,2.868472898,6561,2601,17424,729,364.2128,1516.565,59049,18574.85,200186.5,1131.2954,539.6501,2471.2591,1755.5957,799.5935,4026.9448,2724.4135,1184.7489,6561.9524,4227.8691,1755.4292,10692.7760,10181.6588,3853.8727,28392.6059,15800.3621,5710.2403,46266.0740,24519.7220,8460.7995,75391.0933,38050.8221,12536.2724,122850.6433,0.2187,0.1427,0.2719,0.4483
TlBi,24,81,83,204.3833,208.98037,-1743.086566,0,413.36367,4.937320364,0.851638854,2.975062945,6561,6889,26896,729,756.1659,2100.2247,59049,62761.77,344436.8,1131.2954,1176.3185,3497.4390,1755.5957,1829.9227,5824.1766,2724.4135,2846.6925,9698.8206,4227.8691,4428.4156,16151.1448,10181.6588,10716.7720,44789.07372,5800.3621,16671.3896,74585.8538,24519.7220,25934.6034,124205.5066,38050.8221,40344.7865,206835.5737,0.5003,0.5464,0.5,1.1354







